firm_id,name,liner,special,tramper,tanker,D/W,Source,group,富士,興銀,長銀,安田,第一,三井,三井信託,住友,住友信託,三菱,勧銀,三菱信託,神戸,大和,三和,東海,安田信託,その他,firm_type
92,大安商船,0,0,0,0,NA,NA,Kawasaki Kisen Kaisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
93,池田商事,0,0,0,0,NA,NA,nodata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
94,阿波国商事,0,0,5640,0,NA,NA,Mitsui O.S.K. Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
95,神峰商事,0,0,0,0,NA,NA,nodata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
96,松岡汽船,0,0,27172,0,NA,NA,Japan Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
97,馬場汽船,0,0,10612,0,NA,NA,Mitsui O.S.K. Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
98,菅谷汽船,0,0,16663,0,NA,NA,Mitsui O.S.K. Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
99,板谷汽船,0,0,0,0,NA,NA,nodata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
100,東洋汽船,0,0,42917,0,NA,NA,Mitsui O.S.K. Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
101,三井近海,0,0,15238,0,NA,NA,Mitsui O.S.K. Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
102,隆昌海運,0,0,18260,0,NA,NA,Mitsui O.S.K. Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
103,万珠海運,0,0,1998,0,NA,NA,Mitsui O.S.K. Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
104,？,0,0,0,0,NA,NA,nodata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
105,？,0,0,0,0,NA,NA,nodata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
106,国際汽船,0,0,9000,0,NA,NA,Japan Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
107,東海海運,0,0,3833,0,NA,NA,Japan Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
108,原商船,0,0,24820,0,NA,NA,Kawasaki Kisen Kaisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
109,神港商船,0,0,6570,0,NA,NA,Kawasaki Kisen Kaisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
110,日豊海運,0,0,29244,0,NA,NA,Kawasaki Kisen Kaisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
111,宮地汽船,0,13617,35725,0,NA,NA,Kawasaki Kisen Kaisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
112,白洋汽船,0,0,6500,0,NA,NA,Kawasaki Kisen Kaisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
113,国光海運,0,0,NA,0,NA,NA,Kawasaki Kisen Kaisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
114,国際海運,0,0,NA,0,NA,NA,Kawasaki Kisen Kaisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
115,山和商船,0,0,20138,0,NA,NA,Yamashita-Shinnihon Kisen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
116,山下近海汽船,0,0,4946,0,NA,NA,Yamashita-Shinnihon Kisen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
117,山友汽船,0,0,5582,0,NA,NA,Yamashita-Shinnihon Kisen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
118,樽本汽船,0,0,0,0,NA,NA,Yamashita-Shinnihon Kisen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
119,双葉汽船,0,0,0,21232,NA,NA,Yamashita-Shinnihon Kisen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
120,甲南汽船,0,0,14592,0,NA,NA,Yamashita-Shinnihon Kisen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
121,旭海運,0,0,18019,0,NA,NA,Yamashita-Shinnihon Kisen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
122,新日立汽船,0,0,0,0,NA,NA,Yamashita-Shinnihon Kisen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
123,鶴丸汽船,0,0,8121,0,NA,NA,Yamashita-Shinnihon Kisen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
124,名古屋汽船,0,0,2428,0,NA,NA,Showa Line,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
125,富洋汽船,0,0,2235,0,NA,NA,Showa Line,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
126,東亜汽船,0,0,0,11844,NA,NA,Showa Line,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
127,広南汽船,0,0,10631,0,NA,NA,Showa Line,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
